公司名字,毁约性质,相关链接,链接图片,审核标签,审核描述信息,毁约时间Date
厨芯,毁三方,https://www.nowcoder.com/discuss/935292,18厨芯.png (https://dl.airtable.com/.attachments/e780560e3d4cd544b4f17f95b0ef65ab/704fed86/18.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,4/1/2022
当当网,毁三方,https://maimai.cn/web/gossip_detail/30287429?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiOWRiM2IzNjA2MzIxNGU1Njk2ZjUyMzk1NTM1ZjVhMTAiLCJpZCI6MzAyODc0MjksInUiOjIzMDI3MjIxOX0.rjHBIVtnMzxmq8PEPaDINJZ_BaaNyPbTTxXZcawqCto&share_channel=5,13当当网.png (https://dl.airtable.com/.attachments/94e43cfca09fe8343da4299e852345bc/e1975429/13.png),"毕业前夕毁约！！！,没有违约金",,4/1/2022
哈啰出行,毁三方,https://www.nowcoder.com/discuss/945918,16哈罗出行.png (https://dl.airtable.com/.attachments/a1a187cdc001e0c59467beab3d5fb290/e177ed42/16.png),"分批毁约,毕业前夕毁约！！！",,4/1/2022
小米,试用期恶意裁员,https://maimai.cn/web/gossip_detail/30299371?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNWU2NDBlMWE3NDM3NDE1MWI0NWI4YWZmNjBlOTVlNDMiLCJpZCI6MzAyOTkzNzEsInUiOjIzMDI3MjIxOX0.NVfZSPOlQHn7FpORD4CPXYhqsrUFNoD-yMkMaC_E8F8&share_channel=5,8小米.png (https://dl.airtable.com/.attachments/a5f2d24952a67d3f0568edb135e21e0f/765e92f7/8.png),小部分毁约,,4/1/2022
映客,画饼不给实习转正,https://maimai.cn/web/gossip_detail/30292405?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiYmM2NTIzMWIyMzBmNDU4ZWExNzNlZjFiZjcwNmIxYmEiLCJpZCI6MzAyOTI0MDUsInUiOjIzMDI3MjIxOX0.SkFhb95CVgpb25N5226RKv6tLvzU8vEE80DAD7pFaiY&share_channel=5,14映客.png (https://dl.airtable.com/.attachments/0a31b42f29cf0567efb1598246d36968/b80b0025/14.png),其他画饼等，没有毁约三方,,4/1/2022
小鹏,"毁三方,劝退(告知试用期不过)",https://maimai.cn/web/gossip_detail/30198108?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiYmIwODEzM2RhMTliNDA1N2JmY2E1MmJjODM3NGIxMjQiLCJpZCI6MzAxOTgxMDgsInUiOjIzMDI3MjIxOX0.NEnHUx00zlJN3ctO1Smqx05yA4zDtEPdk4JWpkhO3t4&share_channel=5,11小鹏.png (https://dl.airtable.com/.attachments/8f9c13c08dfdaf8f8d63dd1860b00409/c2b786fd/11.png),大批量毁约！！！,,4/1/2022
触宝,试用期恶意裁员,https://www.nowcoder.com/discuss/927384,17触宝.png (https://dl.airtable.com/.attachments/4819a1ade2c947848cbe855d8c5dd4f7/98f10712/17.png),裁员，但未毁约三方,,4/1/2022
京东,"劝退(告知试用期不过),无赔偿",https://maimai.cn/web/gossip_detail/30321861?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNzJhZDAyYzQ3MmY4NDc1N2I5M2I3NmU0YTQxOGM2OTYiLCJpZCI6MzAzMjE4NjEsInUiOjIzMDI3MjIxOX0.iJA2qM01DbBUSFurASEFTKE2sz6p1FP5wzUKsew8c_w&share_channel=5,6京东.png (https://dl.airtable.com/.attachments/5dcf9144f181888ec833dbcfbdb43688/11e52577/6.png),小部分毁约,,4/1/2022
滴滴,"劝退(告知试用期不过),无赔偿",https://maimai.cn/web/gossip_detail/30223109?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMDkwOTk2YzlmZTc2NGIzYWI2NWRmNGFiMDAzYzkwYTQiLCJpZCI6MzAyMjMxMDksInUiOjIzMDI3MjIxOX0.Kv3Quuts_RTnftYlkm3TqC7TJjaP4522CVUIg6obLmA&share_channel=5,10滴滴.png (https://dl.airtable.com/.attachments/7c844b586238509844b5eb0186adeaf0/fda48e68/10.png),小部分毁约,,4/1/2022
帆软,毁约三方,https://www.nowcoder.com/discuss/961807,66帆软.png (https://dl.airtable.com/.attachments/68a93fe8b2c461eb6971d803fb9b1d1b/f2c65d70/66.png),小部分毁约,链接失效，真实性不确定,5/1/2022
奇点云,毁三方,https://www.nowcoder.com/discuss/958069,35奇点云.png (https://dl.airtable.com/.attachments/0d7626f30068c52f81e964ad23e7ca25/7706e9d3/35.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,5/1/2022
洛凯,毁三方,https://www.nowcoder.com/discuss/950519,38洛凯.png (https://dl.airtable.com/.attachments/1c05aba8ac94cfcd9ff02523b88ebdcc/6eae4712/38.png),"入职毁约,毕业前夕毁约！！！,慎去！！！",,5/1/2022
新氧,试用期恶意裁员,https://maimai.cn/web/gossip_detail/30409087?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNjY5ZmVmZDdiY2I0NDM4ZTg5YTdkMWZjZDBkMmUxY2YiLCJpZCI6MzA0MDkwODcsInUiOjIzMDI3MjIxOX0.xvEEiOAvTiXWC2D_a7wtrFwHmiEg884PBL1iA6jBfhI&share_channel=5,25新氧.png (https://dl.airtable.com/.attachments/ae81f2070d75953c23bd24768a79f6a5/9b2552da/25.png),裁员，但未毁约三方,招聘信息与实际工作不符,5/1/2022
白山云,毁三方,https://maimai.cn/web/gossip_detail/30450961?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiODVlZGE3MzkyYzU5NDYxYmIwMDIzMDBkNTEzZWUzYzEiLCJpZCI6MzA0NTA5NjEsInUiOjIzMDI3MjIxOX0.uZb8HOadcgxwHv8GxzmdRX1WJWFTvZjmlLI9eJYbuyc&share_channel=5,32白云山.png (https://dl.airtable.com/.attachments/4ccccee7e491d4515c26c844ee7acb20/e7b2fdf1/32.png),"大批量毁约！！！,毕业前夕毁约！！！",,5/1/2022
美的,劝退(告知试用期不过),https://maimai.cn/web/gossip_detail/30454675?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiZTEyYjQ5YjE0ZWI4NDY5YWE2ZDZmNDM4N2UwZjA4MDkiLCJpZCI6MzA0NTQ2NzUsInUiOjIzMDI3MjIxOX0.hqL5v7R1cfjrQVQv4RB9o3ggKFxtddDDPW1kOQH-ReU&share_channel=5,28美的.png (https://dl.airtable.com/.attachments/f461ee437be1518372741a3a7efafdb9/e4a88557/28.png),其他画饼等，没有毁约三方,,5/1/2022
百度,大量21届被裁,https://maimai.cn/web/gossip_detail/30428690?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiODIzZjg0YzZlZTA3NGQyMGI3YTVhOWQ2NDkzY2M5M2IiLCJpZCI6MzA0Mjg2OTAsInUiOjIzMDI3MjIxOX0.aqG9vqDaTA0iQDU_zmKUz6KGGs35XHV1eqH3SMFnfWM&share_channel=5,19百度.png (https://dl.airtable.com/.attachments/32ebd8ee64a7828f0c065eb13e710b69/d3dd6ff3/19.png),裁员，但未毁约三方,,5/1/2022
金山,毁三方,https://maimai.cn/web/gossip_detail/30372012?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMmJiYWZiZWJhOTIwNGE1OThjZmUyYzhhMDRmZjkwMDAiLCJpZCI6MzAzNzIwMTIsInUiOjIzMDI3MjIxOX0.Z7pCiuLsZ3s2BOsORgUbMCFCZLmPtirbvQY7whAMo3g&share_channel=5,,"""信息不全,真伪自辨""",,5/1/2022
金证科技,毁三方,https://maimai.cn/web/gossip_detail/30490231?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiOTBjY2VjNDA0MjkxNDJkY2FiM2UxNjFmZGY4MDljMTIiLCJpZCI6MzA0OTAyMzEsInUiOjIzNDE2NTQ5N30.PqooLpSjrNz8P8F-uc4fsSMAnOAOb2Q744AvJ3_np5Q&share_channel=5,36金证科技.png (https://dl.airtable.com/.attachments/7bdab52c59b9b4ba25bb3874e749cc52/9ab5ba19/36.png),"毁约大部分校招生,毕业前夕毁约！！！,慎去！！！",,5/1/2022
绿米联创,毁三方,https://www.nowcoder.com/discuss/953345,41绿米联创.png (https://dl.airtable.com/.attachments/579e15bf0801d4ade04303faf51e27f9/c91ed9af/41.png),"毕业前夕毁约！！！,慎去！！！",,5/1/2022
融360,毁三方,https://maimai.cn/web/gossip_detail/30484373?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNWYyMzM1MjA5ZDhkNDZlNTk4OWU3MDhhYWFhM2IyNDQiLCJpZCI6MzA0ODQzNzMsInUiOjIzMDI3MjIxOX0.t-Nw-KbvUWKacNEVw-MCkk3bJudcgPX03QW2iSBI4Yo&share_channel=5,40融360.png (https://dl.airtable.com/.attachments/aa73f983f71a7ea8800765c7996467e1/26fa89c8/40360.png),"毁约大部分校招生,毕业前夕毁约！！！,慎去！！！",,5/1/2022
容联云,毁三方,https://maimai.cn/web/gossip_detail/30489193?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMGUxMGVmNzZmMzMwNDJiMWJjNjVlYjg4NjU2YzYwZDciLCJpZCI6MzA0ODkxOTMsInUiOjIzMDI3MjIxOX0.CnZ60Qg2cr8irpL1eWZq1eRWoRtwqVpixMnYzKICSKE&share_channel=5,34容联云.png (https://dl.airtable.com/.attachments/0c0ae1522a96b8549a9b2bad7367efc1/b192900c/34.png),"没有违约金,入职毁约,毕业前夕毁约！！！,慎去！！！",,5/1/2022
北森云计算,毁三方,https://www.nowcoder.com/discuss/958515?type=all&order=recall&pos=&page=2&ncTraceId=&channel=-1&source_id=search_all_nctrack&gio_id=90B433057E1B3E7595C1423680827A26-1656921720060,31北森云.png (https://dl.airtable.com/.attachments/fb31068bae69dc65d8ed122c9fb53c93/10e805f5/31.png),"大批量毁约！！！,不止2022年有毁约,毕业前夕毁约！！！,分批毁约,慎去！！！",北森云计算三年内，2次大规模毁约，这种公司慎去！！！！,5/1/2022
转转,毁三方,https://maimai.cn/web/gossip_detail/30366677?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMmVkYTA5ZGQ5OWJjNGVhYzhiZTEzMTJkMjExYmNkYTQiLCJpZCI6MzAzNjY2NzcsInUiOjIzMDI3MjIxOX0.CUzH5EsB6ZSlxEHG0TDWpKgZTYnP6GnL2rJFK0Ud1DA&share_channel=5,20转转.png (https://dl.airtable.com/.attachments/a01873c6b86ca66266aab62005662462/d99f36a0/20.png),"大批量毁约！！！,分批毁约,慎去！！！",,5/1/2022
长阳,毁三方,https://www.nowcoder.com/discuss/951325,42长阳科技.png (https://dl.airtable.com/.attachments/ec1193da62e0880b4e3ad616c3df3b62/693a85a4/42.png),"小部分毁约,毕业前夕毁约！！！",,5/1/2022
理想汽车,毁三方,https://maimai.cn/web/gossip_detail/30395406?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiODA2ZjZhZmRhODE4NDMzMTk4NDIzMWIyNzM0ZjAwMjQiLCJpZCI6MzAzOTU0MDYsInUiOjIzMDI3MjIxOX0.FAGLXrgqCZRb2ALE_vwaZsebdi_fCd_8-_QZ7tcsj78&share_channel=5,23理想汽车.png (https://dl.airtable.com/.attachments/f8838446dcfa3fb549a94e2d432ea37d/02d3049b/23.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,5/1/2022
衡泰,毁三方,https://www.nowcoder.com/discuss/957923,33恒泰.png (https://dl.airtable.com/.attachments/a52f31412c71a4e748ed142dd8828ad8/fde3092e/33.png),"分批毁约,慎去！！！,毕业前夕毁约！！！",,5/1/2022
中科创达,毁三方,https://www.nowcoder.com/discuss/961737,39中科创达.png (https://dl.airtable.com/.attachments/717240a9b17ae306524508097220aa89/a8ced05a/39.png),"大批量毁约！！！,慎去！！！,毕业前夕毁约！！！",,5/1/2022
58同城,毁三方,https://maimai.cn/web/gossip_detail/30455417?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNjM3YzM3YTQwOWE1NDdkNzhlZTYyYjVlYTNjM2I4OWEiLCJpZCI6MzA0NTU0MTcsInUiOjIzMDI3MjIxOX0.R72jV1-AjstJQjB7R8e7LVCRfa99lwJpNGoBVEiahgE&share_channel=5,29五八同城.png (https://dl.airtable.com/.attachments/a5b8f559eb712150735c87c3273d325f/f5efc9fc/29.png),"小部分毁约,毕业前夕毁约！！！",,5/1/2022
盛趣,试用期恶意裁员,https://maimai.cn/web/gossip_detail/30497694?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiY2U1MWY1Y2U5MmUzNDE0Nzg1NWMxZWIyMmE4MGUwYjUiLCJpZCI6MzA0OTc2OTQsInUiOjIzMDI3MjIxOX0.eKWysRz8P0xSkDXRuwdeCGCp3ruVIS-qccR3kuoJ338&share_channel=5,37盛趣.png (https://dl.airtable.com/.attachments/40086cba59407492d8dc9e209af6c4dd/3d8ca4d8/37.png),裁员，但未毁约三方,,5/1/2022
马蜂窝,"毁三方,劝退(告知试用期不过)",https://maimai.cn/web/gossip_detail/30434320?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiZGZjOTYxY2VmNjFkNDBmMWE5YzBjODUwMDQwMjQyYTQiLCJpZCI6MzA0MzQzMjAsInUiOjIzMDI3MjIxOX0.d8OSKd6tadOtG_wfB1k3hHhwY3SH8tJD7RBfKrHA8Dc&share_channel=5,27马蜂窝.png (https://dl.airtable.com/.attachments/67426619766c79353666ade17266ded1/488a2ada/27.png),"毕业前夕毁约！！！,慎去！！！",,5/1/2022
明略科技,毁三方,https://maimai.cn/web/gossip_detail/30420335?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiOWQxZDJlNzQwOGE4NDE5YzhhOGM1NTNjNTk4MDRiM2IiLCJpZCI6MzA0MjAzMzUsInUiOjIzMDI3MjIxOX0.w1KPrJDw9eavsONHwIfpM26aZmQS8Wvfz59FwUiseMk&share_channel=5,26明略科技.png (https://dl.airtable.com/.attachments/a0e9ba396cc1e0535e50db50752fae3e/c2d5e554/26.png),毕业前夕毁约！！！,,5/1/2022
同花顺,毁三方,https://maimai.cn/web/gossip_detail/30462222?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNGNmZGE3NzliYmMyNDZhN2JkOGMxYzU2NmQ5ZGQzOTAiLCJpZCI6MzA0NjIyMjIsInUiOjIzMDI3MjIxOX0.TnLL_e5pxSy1OdFa-Q7vb-_NT-ZWY_kw0nZheveaeLA&share_channel=5,30同花顺.png (https://dl.airtable.com/.attachments/9a318080a148140a3e9d95d5d361e164/3021f11c/30.png),"小部分毁约,毕业前夕毁约！！！",,5/1/2022
阿里巴巴,劝退(告知试用期不过),https://maimai.cn/web/gossip_detail/30399278?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzAzOTkyNzgsInUiOjIzMDI3MjIxOSwiZWdpZCI6IjI1M2Q2MDgyZTcyNDQxNjY4M2ZkYjQzM2M3NzJhZjU2In0.AJ4ai0O07GMPdkP4QwvFeZDAFcwYv407o3Q01Ax9oGA&share_channel=2,24阿里巴巴.png (https://dl.airtable.com/.attachments/091a324b35765ccc366fddd1ffacc76a/64078121/24.png),其他画饼等，没有毁约三方,,5/1/2022
字节跳动,试用期恶意裁员,https://maimai.cn/web/gossip_detail/30373864?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzAzNzM4NjQsInUiOjIzMDI3MjIxOSwiZWdpZCI6IjcyOTFmOWFhNWNiMDQ4MGQ5NDRkZDE5MzFmN2YwNDU3In0.wRpK6vWbDQg_FI2zAOxPjhD_jJsspNw3lKeaCRYimVQ&share_channel=2,22字节.png (https://dl.airtable.com/.attachments/95a1f02d11575aa0b9d4ed2404bf335a/2d79fa0f/22.png),裁员，但未毁约三方,说实话，字节2022年还算好的，没怎么大量裁员和大批量毁约,5/1/2022
联友科技,毁三方,https://www.nowcoder.com/discuss/960136,43联友科技.png (https://dl.airtable.com/.attachments/22412cc5e7171d8b9201a3f01c54ef00/57b1b872/43.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！,分批毁约",,5/1/2022
杭州每刻科技有限公司,"裁员应届生,无赔偿,大量21届被裁",https://maimai.cn/web/gossip_detail/30427998?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzA0Mjc5OTgsInUiOjIzMzMyODkxMSwiZWdpZCI6IjJjZWI1ZDExMTEwOTQyMWRhZThkZGQ3OTEyNDVlZGFlIn0.L-YTBp8u_Tn7yiL3J_4krQYIinu-YQAquvN1MGpyTeo&share_channel=2,469856497172537765.jpg (https://dl.airtable.com/.attachments/f139483fca33ae8f910828f514c6014a/19e94e8c/469856497172537765.jpg),"裁员，但未毁约三方,大量裁员应届生",,5/7/2022
绿盟,毁约三方,https://uploadfiles.nowcoder.com/message_images/20220626/7840802_1656206791927/discuss_1656206789083.jpeg?x-oss-process=image%2Fresize%2Cm_mfit%2Cw_550%2Ch_550,discuss_1656206789083.jpeg (https://dl.airtable.com/.attachments/155bcba2bc77a8614d8fee1f17c6989d/296d178f/discuss_1656206789083.jpeg),小部分毁约,,5/31/2022
一药网,毁三方,https://www.nowcoder.com/discuss/968567?type=all&order=recall&pos=&page=1&ncTraceId=&channel=-1&source_id=search_all_nctrack&gio_id=634EF89C8D8E90A6557B23589A76659C-1655353044976,壹药网.png (https://dl.airtable.com/.attachments/bb17f9cc133e67c7555606d53b51b04c/b7d38578.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,6/1/2022
上海米居,"毁三方,无赔偿",,,"""信息不全,真伪自辨""",该数据提供不全，无法辨识真实性，请各位自行判断,6/1/2022
平安,毁三方,https://maimai.cn/web/gossip_detail/30540455?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMDVmMDVjMTkxZTQ5NGNmOGI5MmEzYjk5N2E5N2I2OWYiLCJpZCI6MzA1NDA0NTUsInUiOjIzMDI3MjIxOX0.00RqnrKoAsEC3xbjbjWXrSl8G1Etw23NatdW4NLzKDQ&share_channel=5,47平安惠普.png (https://dl.airtable.com/.attachments/92e8e3aa0683f7ce95134977fd830eff/07707138/47.png),"大批量毁约！！！,毕业前夕毁约！！！",,6/1/2022
惟客数据,毁三方,https://www.nowcoder.com/discuss/971547,55惟客.png (https://dl.airtable.com/.attachments/a143cef68ad5488a3b83be71a336f5ad/74268be6/55.png),大批量毁约！！！,,6/1/2022
深圳宝龙达信息科技股份有限公司,毁三方,https://www.nowcoder.com/discuss/971361,53深圳宝龙达.png (https://dl.airtable.com/.attachments/ef1cbf0e2bd0bb3c7738ae0407598d99/883bd61e/53.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！,分批毁约",,6/1/2022
灵动科技北京,毁三方,,,"""信息不全,真伪自辨""",该数据提供不全，无法辨识真实性，请各位自行判断,6/1/2022
袋鼠云,毁三方,https://maimai.cn/web/gossip_detail/30522743?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiYzdlOGMyNmM2MGM5NDdiM2E4NzIwOGQ4N2NlOWU0MDYiLCJpZCI6MzA1MjI3NDMsInUiOjIzMDI3MjIxOX0.v5FqTV3Ku48x0POtKVYz4PK2RS5P_UNTq-Xb5mW4OMM&share_channel=5,45袋鼠云.png (https://dl.airtable.com/.attachments/04136da4cb69b49956cc69764c7be3a0/56660bc8/45.png),"大批量毁约！！！,慎去！！！,分批毁约",,6/1/2022
万得,"毁三方,降薪",https://maimai.cn/web/gossip_detail/30554173?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiZjg4MmQ2YTJhZWZmNGFkYWEzZjU0N2JkMGQyMjc0M2YiLCJpZCI6MzA1NTQxNzMsInUiOjIzNDE2NTQ5N30.omw_EUnpN86YGWQw0wFA5hKY-ThLCcUa1gFxtSRm-Is&share_channel=5,49万得.png (https://dl.airtable.com/.attachments/8265159c1a3ae69b79a2484d07a27534/56c7c6a6/49.png),"大批量毁约！！！,毕业前夕毁约！！！",新进入的公司，一个同事就是被万得毁约来的。,6/1/2022
